,,,,,,,,,,,,Methane as objective,,,,,,,,,,,
Organism,Reaction,Biomass effect (>95%),Methane effect  (>95%),Reaction name,SubSystem/Pathway,Metabolic_Overview,GPR,lb,ub,Reversibility,Compartments,Day 1 p,Day 2 p,Day 3 p,Day 4 p,Day 5 p,Day 6 p,Day 1 s,Day 2 s,Day 3 s,Day 4 s,Day 5 s,Day 6 s
DvH,rxn02320,Yes,Yes,5-Amino-2-oxopentanoate2-oxoglutarate aminotransferase,Aminotransferases:Aromatic Pathway and  More  ,Metabolic_Overview,206463,-1000,1000,Reversible/bi-directional,Intracellular,-0.005939164,-0.004513179,-0.004793329,-0.004805627,-0.003674163,-0.006444101,-0.008377503,-0.007865863,-0.007770506,-0.006352741,-0.007541875,-0.008995271
DvH,rxn00882,No,No,myo-Inositol 4-phosphate phosphahydrolase,Di-Inositol-Phosphate biosynthesis,Metabolic_Overview,207139,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn01257,No,No,chorismateL-glutamine aminotransferase,"Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and  More",Metabolic_Overview,(( 209297 and 209298 ) or ( 209402 )),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn00541,Yes,Yes,L-Threonine acetaldehyde-lyase,Glycine Biosynthesis,Metabolic_Overview,207344,-1000,1000,Reversible/bi-directional,Intracellular,0.03920162,0.395432282,0.419978249,0.421055808,0.321920022,0.564614313,0.055295943,0.689185238,0.6808303,0.556609622,0.66079824,0.788140837
DvH,rxn00225,No,No,ATPacetate phosphotransferase,Threonine anaerobic catabolism gene cluster,Metabolic_Overview,208544,-1000,1000,Reversible/bi-directional,Intracellular,-10.73772464,-10.05136519,-10.42559945,-10.50341732,-2.347305096,-13.03397988,-9.912580754,-15.13331167,-14.98720609,-12.89234863,-14.72882352,-16.97342075
DvH,rxn05401,No,No,13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,Fatty acid biosynthesis,Metabolic_Overview,(( 208656 ) or ( 208058 ) or ( 208656 )),-1000,1000,Reversible/bi-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn02518,No,No,2-Deoxyinosine-5-triphosphate pyrophosphohydrolase,"""",Metabolic_Overview,206625,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn05193,No,No,Butyro-betaine ABC transport,Transporters ,Metabolic_Overview,207785,0,1000,Irreversible/uni-directional,Transport,0,0,0,0,0,0,0,0,0,0,0,0
DvH,rxn10215,No,No,anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,"""",Metabolic_Overview,207147,0,1000,Irreversible/uni-directional,Intracellular,0,0,0,0,0,0,0,0,0,0,0,0
