Gene name in Model,Gene ID,Reaction,Reaction Name,Reaction Formula,GPR in model,Pathway
206463,DVU1029,rxn02320,5-Amino-2-oxopentanoate2-oxoglutarate aminotransferase,cpd00807[c] + cpd00024[c]  <=> cpd00023[c] + cpd00930[c] ,206463,Aminotransferases:Aromatic Pathway and  More  
206463,DVU1029,rxn00493,L-Phenylalanine2-oxoglutarate aminotransferase,cpd00066[c] + cpd00024[c]  <=> cpd00143[c] + cpd00023[c] ,(( 206463 ) or ( 206268 )),Aminotransferases:Aromatic Pathway and  More  
206463,DVU1029,rxn00527,L-Tyrosine2-oxoglutarate aminotransferase,cpd00024[c] + cpd00069[c]  <=> cpd00868[c] + cpd00023[c] ,(( 206463 ) or ( 206268 )),Aminotransferases:Aromatic Pathway and  More  
207139,DVU1680,rxn00882,myo-Inositol 4-phosphate phosphahydrolase,cpd02230[c] + cpd00001[c]  -> cpd00009[c] + cpd00067[c] + cpd00121[c] ,207139,Di-Inositol-Phosphate biosynthesis
207139,DVU1680,rxn00883,1D-myo-Inositol 3-phosphate phosphahydrolase,cpd02484[c] + cpd00001[c]  -> cpd00009[c] + cpd00067[c] + cpd00121[c] ,207139,Di-Inositol-Phosphate biosynthesis
207139,DVU1680,rxn00881,myo-Inositol 1-phosphate phosphahydrolase,cpd00867[c] + cpd00001[c]  -> cpd00009[c] + cpd00067[c] + cpd00121[c] ,207139,Di-Inositol-Phosphate biosynthesis
209297,,rxn01257,chorismateL-glutamine aminotransferase,cpd00053[c] + cpd00216[c]  <=> cpd08210[c] + cpd00023[c] ,(( 209297 and 209298 ) or ( 209402 )),"Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and  More"
209298,DVU0364,rxn01257,chorismateL-glutamine aminotransferase,cpd00053[c] + cpd00216[c]  <=> cpd08210[c] + cpd00023[c] ,(( 209297 and 209298 ) or ( 209402 )),"Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and  More"
209402,DVU0466,rxn01257,chorismateL-glutamine aminotransferase,cpd00053[c] + cpd00216[c]  <=> cpd08210[c] + cpd00023[c] ,(( 209297 and 209298 ) or ( 209402 )),"Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and  More"
209402,DVU0466,rxn00727,Chorismate pyruvate-lyase (amino-accepting),cpd00053[c] + cpd00216[c]  -> cpd00067[c] + cpd00020[c] + cpd00093[c] + cpd00023[c] ,( 209401 and 209402 ),"Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and  More"
209402,DVU0466,rxn00726,Chorismate pyruvate-lyase (amino-accepting),cpd00013[c] + cpd00216[c]  -> cpd00067[c] + cpd00020[c] + cpd00093[c] + cpd00001[c] ,( 209401 and 209402 ),"Chorismate: Intermediate for synthesis of PAPA antibiotics, PABA, anthranilate, 3-hydroxyanthranilate and  More"
206846,DVU1403,rxn05029,ATPcobinamide Cobeta-adenosyltransferase,cpd00002[c] + cpd03422[c]  <=> cpd00421[c] + cpd03918[c] ,206846,Cobalamin synthesis
206846,DVU1403,rxn03535,"ATPcob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase",cpd00002[c] + cpd03915[c]  <=> cpd00421[c] + cpd03916[c] ,206846,Cobalamin synthesis
206846,DVU1403,rxn08194,cob(I)alamin adenosyltransferase,cpd00635[c] + cpd00002[c]  <=> cpd00421[c] + cpd00166[c] ,206846,
207344,DVU1878,rxn00541,L-Threonine acetaldehyde-lyase,cpd00161[c]  <=> cpd00033[c] + cpd00071[c] ,207344,Glycine Biosynthesis
208544,DVU3030,rxn00225,ATPacetate phosphotransferase,cpd00029[c] + cpd00067[c] + cpd00002[c]  <=> cpd00196[c] + cpd00008[c] ,208544,Threonine anaerobic catabolism gene cluster
208544,DVU3030,rxn00985,ATPacetate phosphotransferase,cpd00067[c] + cpd00002[c] + cpd00141[c]  <=> cpd00008[c] + cpd01844[c] ,208544,Threonine anaerobic catabolism gene cluster
208656,DVU3137,rxn05401,13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd11537[c] + cpd00067[c]  <=> cpd11538[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05338,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]NADP+ oxidoreductase,cpd11482[c] + cpd00006[c]  <=> cpd00005[c] + cpd00067[c] + cpd11487[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05422,10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11558[c]  <=> cpd00006[c] + cpd11559[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05397,11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11533[c]  <=> cpd11534[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05426,12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11562[c]  <=> cpd11563[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05364,6-methyl-3-oxo-octanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11500[c]  <=> cpd11501[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05372,10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,cpd00005[c] + cpd00067[c] + cpd11508[c]  <=> cpd11509[c] + cpd00006[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
208656,DVU3137,rxn05430,14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase,cpd11566[c] + cpd00005[c] + cpd00067[c]  <=> cpd00006[c] + cpd11567[c] ,(( 208656 ) or ( 208058 ) or ( 208656 )),Fatty acid biosynthesis
