EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
AAS94333	67.29324779	34.35955347	102.2563404	79.95473338	49.29604836	25.18416433	50.82188586	42.70459307	0	47.52480033	71.17770281	84.56020023	19.58122801	50.64219737	38.96089669	0	48.64897999	46.88125207	89.35532444	103.6961455	115.1391572	83.44579501	109.7335996	118.6141942	83.49350121	125.5671816	89.31565126	102.2498975	116.2513456	88.0830748	83.69309268	65.68947927	108.1471013	34.75875586	96.36832415
AAS94334	32.91793824	12.746295	36.11330203	18.04071722	33.71337475	22.76896592	22.9215013	0	22.21678939	13.48818569	31.68510806	13.19541815	21.5623392	21.86410368	13.39721854	23.10343206	28.58340199	8.240458333	66.44311362	45.91715395	71.05648222	71.87616303	41.65007176	47.17450023	45.86099668	52.55091377	41.98187357	45.8953932	46.76214044	51.08934282	44.79660625	45.99394394	53.08301376	27.87063311	56.25265941
AAS94335	18.22466609	0	0	10.470445	15.88290066	15.69613572	12.12602237	14.14720563	10.76885475	0	3.767827997	3.897630732	12.53493673	11.70771738	35.6900985	0	14.59120381	14.73832352	17.41552567	12.81142156	14.11539879	50.90283176	11.45218259	20.9453504	14.97054761	22.92114889	21.94671157	14.79169424	21.8899414	13.81713918	20.33632206	17.09905148	25.74657055	13.8229162	18.64053676
AAS94336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAS94337	0	0	0	0	0	0	0	2.124868351	0	1.8605874	0	0	0	0	0	0	1.036714021	3.123397805	0	0	0.365345008	0	0	0	0.226914112	0	0	0	0	0	0.365951995	0	0	1.03067402	0.548443757
AAS94338	128.5017118	194.7270275	181.9775404	228.6903998	223.2526973	155.2088243	281.1004871	208.9303583	65.19753808	88.51017135	159.8570024	284.5746788	137.999817	129.317818	151.6841134	118.8293314	165.7748104	111.6350289	289.3817408	279.0710316	310.5227242	475.9550115	291.9029038	219.6449236	224.342198	350.8600323	237.3372776	404.3205101	269.0741297	276.4135903	298.4358363	305.9368342	276.3025482	186.3316505	219.1768928
AAS94339	19.4786654	8.709841794	12.21273798	8.259372415	6.079553032	12.55479016	25.95823854	0	20.5412625	0	5.748334185	24.51358737	0	3.842818202	18.10161643	31.85475033	21.91718556	11.07155981	14.27759434	21.35115052	15.85097308	64.70277655	22.55829457	14.91463148	16.11454812	10.29733011	25.08960847	24.80694956	16.29171116	12.86906451	18.64089293	21.44634447	24.68244105	13.91769265	18.77877772
AAS94340	0	0	127.6428821	79.87834376	51.46129253	59.78594092	0	35.67518441	57.59101481	30.09995307	48.16880121	0	46.65953758	37.93840446	181.0441979	176.7387313	77.03714939	60.99686439	47.29870018	62.96495892	34.46395045	79.14599243	108.9208179	65.70778445	55.94878676	75.82343187	68.47350837	53.48989489	72.76757136	66.32987469	78.16916087	83.32770287	37.21102848	54.22924623	103.3073481
AAS94341	44.7160767	77.64932499	0	71.31912822	20.12987249	55.73686189	119.8069977	0	34.62316579	0	36.17899497	0	0	0	0	0	0	0	26.35448207	50.98291479	66.12863733	0	74.95362086	84.47209476	39.88582559	46.42954615	134.1757361	60.8655907	70.71161793	56.42831705	106.4673039	93.85975051	110.6502501	41.55986661	74.23844167
AAS94342	13.23003087	79.56385708	72.24148038	72.14792391	94.49980288	19.17812807	19.10721403	68.69298537	0	17.96967157	0	54.95653447	55.70514788	0	55.82749113	0	45.22309739	0	35.44393729	27.9306873	28.52726211	24.52398728	17.5432211	41.58501049	33.18122548	26.27034329	67.1047357	74.48633587	28.12704786	47.07307386	44.60278063	23.30879494	34.29490685	52.59966147	58.93148063
