EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
CAF29557	193.8180519	686.6216866	954.008942	660.5155221	693.0212206	173.3425476	439.4553882	463.5354935	265.7841633	139.1470037	1163.34108	121.5956733	268.7874986	493.8558367	1139.081374	2324.26117	244.3502503	256.161089	222.5943463	102.4054186	576.9732911	0	529.2953749	0	137.0931413	166.8460759	334.2503545	510.2065167	0	246.2456502	148.280409	387.2857814	456.2067258	0	399.6452082
CAF29558	226.3597714	361.4588748	365.2739352	516.7301381	30.21472808	159.681744	166.7616904	452.7652228	348.9727763	168.0928618	49.4257913	172.019778	255.3799985	312.3656205	509.3823577	832.0387189	59.95796734	160.8874393	61.03175374	99.16836106	117.75143	0	72.56092059	78.02879944	144.7626555	44.51917844	168.419899	69.43164031	43.46800851	148.9167912	95.85680617	231.8231039	110.4685454	106.0470845	64.61407112
CAF29559	187.5320954	167.9064522	168.1601769	208.6121068	125.2962633	142.8633144	218.8488566	299.836947	153.8124691	146.0478809	83.02316847	220.756039	190.1461093	241.9579072	236.9916054	285.5551409	85.87434214	159.6552076	126.8387176	170.1309607	139.3550386	0	125.3147523	122.5138422	140.0955622	104.1041053	175.3820171	44.50019555	89.88102671	157.8280895	154.4209281	181.9361911	275.9067751	95.70682267	182.4118378
CAF29560	32.8569727	19.45257758	52.22992698	37.89446532	19.51336051	14.08672808	34.01728196	16.44611165	38.96493335	68.24859056	23.1399568	32.00658568	38.19784342	46.81540396	25.40850027	20.16458135	31.24210938	31.66460531	30.42323729	46.24284845	28.11007174	0	26.46577571	23.09271313	48.62071389	52.77315747	25.84037708	0	0	34.02391302	21.78344828	19.2239855	32.50635185	42.20600537	51.40368606
CAF29561	28.99541689	18.73547414	6.598236507	7.426161866	0	6.790114712	15.57055491	11.57283011	0	20.79626244	0	25.96254326	6.671939328	11.88108421	5.76276883	4.603355705	0	9.306028833	4.65796139	37.22887571	4.232247106	0	0	5.717685348	0	0	0	0	11.58633451	8.389376945	21.12866473	10.02315636	7.972298709	63.19997244	40.26541613
CAF29562	44.28065318	85.20452726	74.16062186	63.61662604	55.46779094	64.91421892	48.15929831	71.82241679	112.3230422	75.89462189	43.95358266	68.53842987	45.55928957	40.80304564	83.21979629	150.4272414	78.74396802	43.93945457	62.07060636	111.302998	66.42867924	0	48.88211243	75.0944722	78.88040462	115.4221661	53.12702176	36.75587675	79.48758429	136.490947	72.1306377	93.76835521	86.60145912	59.96762935	79.39322477
CAF29563	49.18338319	55.66836867	63.47453504	68.08056304	29.65924746	41.75352523	35.40049305	55.82251486	38.75039831	47.54942664	13.79163903	45.07335954	51.22996178	84.05262528	74.61707902	95.2429185	14.34415202	33.01757622	59.07027274	50.95011864	59.03331753	0	65.2475473	33.76737504	38.37883283	99.4678058	58.68789411	0	63.05256392	105.3009168	35.25959416	30.14760488	89.79616815	42.65271741	41.28776262
CAF29564	39.44245188	26.68135146	48.82229164	29.84765277	72.38740227	51.20709188	45.49950951	34.69737159	41.93014779	31.95801181	57.67851441	48.99936883	56.50624623	39.19678015	43.63816527	32.45991318	60.58892206	57.15698646	55.5267943	17.71836341	48.23743885	84.48738697	47.93301603	34.07765969	44.218955	34.50204167	66.36492011	40.27043954	33.15709902	91.45898674	53.05310781	35.54380877	37.88612832	16.40248979	40.31615038
CAF29565	14.44192158	16.92219101	32.20722731	18.69726441	32.32124231	31.17482253	19.74855644	39.11707	21.16199151	23.98481068	25.30246348	27.63301906	34.32185722	21.12253279	22.42569671	11.82859442	0	34.27277098	23.75667672	29.34684179	5.468368581	0	0	14.83476105	12.13473627	28.86884361	42.31479868	15.39686866	0	0	38.6282117	12.99213776	31.74086862	0	18.24378133
CAF29566	27.24207458	74.06579475	52.81376689	0	21.3458285	19.41090011	63.14288832	40.92426247	42.89479126	45.27187639	0	18.19100592	14.91559886	57.01286649	32.50122263	45.71097408	0	64.41500599	0	42.11684679	138.8081051	0	63.07161179	0	48.2770101	0	277.5788716	268.2615707	0	48.43440563	0	0	46.06241505	101.3679516	0
CAF29567	10.34996736	0	7.80278118	20.87565124	7.418485766	11.92379745	18.53746625	12.18151981	6.864854497	7.967515967	15.6252362	17.54259903	14.16155244	5.205590688	7.839553281	12.43978807	6.303730689	10.54701493	8.178441304	21.70628816	7.473909893	0	10.39736048	15.00690055	16.93882801	8.337629724	30.71568003	0	9.297575956	17.31846074	8.980655162	8.106858376	13.45220831	20.20304773	34.83779233
CAF29568	4.396351629	44.12693222	0	25.43421502	0	0	8.848844499	12.31677008	0	62.04605058	0	12.58748085	21.83936931	38.48697269	0	0	21.99860506	0	0	0	15.3316583	0	0	20.43130588	0	0	40.39856279	0	0	0	12.88961688	0	0	0	0
CAF29569	56.12751566	51.92287219	107.0047535	87.3918671	50.3432073	54.80581353	75.980361	86.75474521	64.85155685	77.47325761	57.90256987	53.00219854	39.44433706	28.31820772	118.7881099	97.20152276	44.8698332	53.19762191	47.57699146	26.69182659	67.69355235	0	20.92515844	46.49020053	104.8833056	38.52484802	41.29580741	32.51199279	148.8571045	24.38000363	55.8056	60.54925138	89.18325071	78.67684137	50.81225869
CAF29570	38.08923077	97.37166777	32.37847182	78.29893712	0	23.48603563	42.63493208	97.95476033	74.08434856	41.966079	0	47.64150188	73.22136297	54.01201278	33.53697726	36.78932506	0	8.833505807	18.09603748	27.45705095	32.83013173	0	0	30.47101255	16.10618301	47.99586589	44.99993975	0	0	60.20801299	6.524535389	0	14.41911703	0	0
CAF29571	99.71260046	67.02757158	83.10502423	165.9654632	0	96.01874359	85.20560306	212.1406152	52.43328195	0	0	93.70732124	70.16488462	47.28607271	69.15428483	147.87199	17.68419239	111.0904861	29.52083852	22.53019749	66.60294385	0	0	32.92885022	13.37666427	34.62982141	0	0	0	81.67791837	93.32071692	0	24.31367206	0	39.07316905
CAF29572	71.40047956	126.2036063	33.25534323	47.59346614	0	40.42658759	57.2351075	143.7402504	94.39308349	0	66.30769669	39.6936187	88.40886806	80.99577983	166.0610266	122.0012172	0	90.46528299	69.1626261	41.64211945	22.12260312	0	0	105.0047389	0	0	64.92507161	0	277.7561111	147.0418077	103.6397613	56.06770782	51.78708554	0	0
