Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
EPD-A-5-10-P_S3_L001_R1_001_val_1	0	0	0	0.000163435	0.000599261	0.000762695	0.001035087	0.001470913	0.003976912	0.008008302	0.013020301	0.019721126	0.030126471	0.047341598	0.067716463	0.091959283	0.124428319	0.166812396	0.223033948	0.282251804	0.351439179	0.436479725	0.532960702	0.630585723	0.747605	0.896221661	1.058403406	1.240033885	1.445852707	1.666598569	1.847411875	2.027081137	2.201629444	2.310531463	2.40483331	2.485515596	2.479196119	2.372255318	2.235460437	2.065052476	1.840002833	1.591473065	1.33537082	1.114733915	0.924495872	0.748803521	0.623067725	0.535248789	0.467586804	0.434082682	0.437405855	0.489378104	0.582535908	0.687678927	0.839291892	1.062434796	1.332428994	1.653087963	2.022396008	2.446672605	2.893012892	3.336683746	3.752734127	4.074264748	4.247941403	4.265973703	4.148137252	3.875963925	3.477891365	3.017495689	2.499298593	1.97320215	1.507903432	1.098444918	0.768034343	0.517652314	0.333624792	0.210177082	0.129440318	0.076868808	0.041566903	0.022172647	0.012257606	0.006156042	0.004903042	0.003541086	0.001961217	0.001743304	0.001361956	0.000980608	0.000871652	0.000708217	0.000544782	0.000435826	0.000435826	0.002233608	0.002669434	0.000980608	0.000599261	0.001144043	0.002233608
EPD-A-5-10-P_S3_L001_R2_001_val_2	0	0	5.45E-05	0.000217802	0.000762306	0.001089008	0.001197909	0.002178016	0.004410482	0.008875414	0.014756057	0.02069115	0.031472328	0.047589644	0.071330016	0.100188725	0.131170999	0.17135539	0.226295838	0.283849904	0.354744317	0.440122535	0.533450511	0.635327198	0.749074071	0.887868126	1.052036064	1.238365312	1.454043323	1.659920263	1.838299754	2.017550451	2.187163429	2.330313514	2.422443581	2.470904432	2.456910681	2.367775386	2.23301066	2.056972536	1.833235867	1.580422688	1.338771839	1.121079163	0.930666135	0.762196616	0.634129289	0.542108123	0.471976016	0.44774559	0.455477546	0.503067191	0.587737553	0.703934694	0.851876415	1.058624561	1.325812645	1.636833296	2.014501229	2.455222718	2.911135868	3.329696047	3.715368188	4.030145916	4.219578837	4.244626018	4.109534591	3.849152806	3.478617875	3.020744511	2.482175664	1.955967055	1.500053906	1.100878067	0.770690877	0.512813811	0.330731694	0.211158628	0.135145878	0.081022186	0.043396964	0.025156082	0.01660737	0.00969217	0.005989543	0.004573833	0.003702627	0.00272252	0.002559169	0.003103672	0.002613619	0.002286917	0.002014665	0.001796863	0.002178016	0.001470161	0.001470161	0.002123565	0.010454476	0.038278627	0.069369802
EPD-A-5-10-P_S3_L002_R1_001_val_1	0	0	0	5.55E-05	0.000555286	0.001110572	0.001332686	0.002054558	0.00433123	0.008717989	0.013326862	0.017991264	0.028486168	0.045366861	0.064413168	0.088790221	0.121385505	0.160866335	0.216283871	0.275977109	0.348830623	0.432067985	0.522579592	0.627473105	0.755633098	0.906615343	1.048324314	1.218130752	1.444132127	1.654696553	1.841716855	2.0266826	2.195100823	2.319151701	2.414605353	2.489291311	2.482683408	2.369738249	2.220643976	2.045728907	1.817284274	1.57506855	1.338072514	1.125398001	0.932214025	0.767071988	0.63041612	0.531630753	0.464996441	0.43067977	0.430013427	0.474713944	0.573832484	0.695606689	0.845311776	1.053710587	1.322135807	1.644312706	2.033234974	2.459639042	2.902923803	3.359146725	3.75845284	4.088959028	4.286474234	4.280810318	4.15281691	3.914987945	3.508740756	3.017423762	2.486237238	1.95915983	1.508545295	1.10374185	0.765572716	0.509863544	0.329673259	0.207010596	0.126383078	0.072964572	0.039591887	0.023544124	0.012493934	0.007052131	0.005053102	0.002554315	0.001554801	0.001388215	0.000888457	0.000721872	0.000999515	0.0007774	0.0003887	0.000277643	0.000166586	0.000277643	0.000277643	0.000222114	0.000111057	0	0.001554801
EPD-A-5-10-P_S3_L002_R2_001_val_2	0	0	5.55E-05	0.000222087	0.000499695	0.001221477	0.002165346	0.002942649	0.005496647	0.009660774	0.015046377	0.022763892	0.032147057	0.047693129	0.067958545	0.09377613	0.126145274	0.159735894	0.216867711	0.281939128	0.3448452	0.424629865	0.519405385	0.631337107	0.743601958	0.884627044	1.051858366	1.218034777	1.431682229	1.651214981	1.829328554	2.020545245	2.206987071	2.323860223	2.409863317	2.485372811	2.462775485	2.365057315	2.225642358	2.051748433	1.840654978	1.598413856	1.35833808	1.1279786	0.93287539	0.761368898	0.632169932	0.543335232	0.468880649	0.437066723	0.443451717	0.486481024	0.588141234	0.703959474	0.851980292	1.076398952	1.34023801	1.65349137	2.030372584	2.440955462	2.884629265	3.319364077	3.718787095	4.053527348	4.232029573	4.249907556	4.146026479	3.875191689	3.450839432	2.982958173	2.472880432	1.963857602	1.513465675	1.099384931	0.760813681	0.519016733	0.34057003	0.211870759	0.131586399	0.078563188	0.044195263	0.02565102	0.015101899	0.009605252	0.007495428	0.00560769	0.004774865	0.004164127	0.003997561	0.003719953	0.003442345	0.003497866	0.003830996	0.003719953	0.003331301	0.003886518	0.003497866	0.00360891	0.014380117	0.043029308	0.098884125
EPD-A-5-10-P_S3_L003_R1_001_val_1	0	0	0	0.000106511	0.000426043	0.00069232	0.001171619	0.001863939	0.003834389	0.007668777	0.01272804	0.020503327	0.03030232	0.045000809	0.065450881	0.088244191	0.121049515	0.166050324	0.225483346	0.279164785	0.340142213	0.432540325	0.537826243	0.633206656	0.74605484	0.892240902	1.055734967	1.250702971	1.445564465	1.649213098	1.850465239	2.025622236	2.190660708	2.330509377	2.432440205	2.492672058	2.472062219	2.368054431	2.226395078	2.062847758	1.839973926	1.576572738	1.34336736	1.14152941	0.941448888	0.752818276	0.623993473	0.535589516	0.469393059	0.434457519	0.432540325	0.481109246	0.575424552	0.698124984	0.852033078	1.062924446	1.328242828	1.637656677	2.004320078	2.435955061	2.909874829	3.358924326	3.744546647	4.069564328	4.239236019	4.23321816	4.126281325	3.88817645	3.513897528	3.027196466	2.485695601	1.976147973	1.513411839	1.101002054	0.763575866	0.511997376	0.334710163	0.209773004	0.129410612	0.075356385	0.042071763	0.024657248	0.012994317	0.007668777	0.004633219	0.003301835	0.003195324	0.002503004	0.002023705	0.001810683	0.001491151	0.001011853	0.000639065	0.000372788	0.000319532	0.001118363	0.001065108	0.000372788	0.000532554	0.001171619	0.002875791
EPD-A-5-10-P_S3_L003_R2_001_val_2	0	5.32E-05	0.000106456	0.000159684	0.000479051	0.000798418	0.00122424	0.002235569	0.005322784	0.009900379	0.013626328	0.019374935	0.031617339	0.047638919	0.066694487	0.092190624	0.122264355	0.165538591	0.222385927	0.281575289	0.352261864	0.432689134	0.529244441	0.630004748	0.741197712	0.883475736	1.045501289	1.236802156	1.443432642	1.651553508	1.845409311	2.037615052	2.198416365	2.312909455	2.425007292	2.488348425	2.468654123	2.383383119	2.241051867	2.052997899	1.829813554	1.583741236	1.345227272	1.132156217	0.945113578	0.776700683	0.639000253	0.549364566	0.481871661	0.449402677	0.450680145	0.491665584	0.576138171	0.691536134	0.860853902	1.072008755	1.318773034	1.621958827	1.995511828	2.41643761	2.884949082	3.375443654	3.76145197	4.037172196	4.22831338	4.239757366	4.116854277	3.86040253	3.467421367	3.003487488	2.463863617	1.958412022	1.509594851	1.091330462	0.765895431	0.514340645	0.330970727	0.210675802	0.130674354	0.08117246	0.045296894	0.024963858	0.01431829	0.008942278	0.006866392	0.005269556	0.004630822	0.003885633	0.002448481	0.002075886	0.002395253	0.002129114	0.001756519	0.001703291	0.00149038	0.002235569	0.002554936	0.001756519	0.01085848	0.039707971	0.071431765
EPD-A-5-10-P_S3_L004_R1_001_val_1	0	0	5.44E-05	0.000272021	0.000598447	0.00076166	0.001088085	0.001795341	0.00408032	0.007997428	0.012186557	0.019694346	0.029650327	0.044883523	0.064414656	0.089277408	0.124368162	0.164627323	0.22077253	0.28001878	0.351505992	0.435342973	0.520268039	0.623581749	0.743597569	0.891359568	1.058815913	1.232365536	1.442039594	1.669449445	1.864325542	2.0345021	2.197279678	2.324041628	2.413917483	2.484697439	2.486982418	2.389435561	2.239932626	2.063934811	1.848765921	1.599648766	1.347321759	1.122468909	0.923947726	0.749690848	0.622765685	0.530768063	0.464394853	0.436267845	0.433221206	0.483545156	0.570211159	0.685112979	0.846693662	1.059958402	1.333339862	1.650571163	2.012522775	2.430510785	2.907364216	3.378886029	3.786537228	4.085651907	4.250877677	4.247069378	4.123245258	3.875542615	3.477031333	3.014268608	2.484098992	1.969978635	1.508140783	1.085800431	0.746263379	0.509768015	0.340679542	0.206627419	0.126163503	0.077906915	0.042979374	0.023067411	0.013165833	0.007834215	0.005712448	0.003318661	0.002067362	0.001904149	0.001468915	0.00114249	0.001196894	0.000979277	0.000435234	0.00038083	0.000326426	0.000326426	0.000217617	5.44E-05	0.000272021	0.000598447	0.005005193
EPD-A-5-10-P_S3_L004_R2_001_val_2	0	0	0.000108753	0.000326258	0.000489387	0.000761269	0.001794419	0.002501312	0.004078226	0.009298355	0.015007871	0.021913667	0.030396376	0.046546151	0.067100409	0.091896022	0.12479371	0.160627721	0.213209645	0.278624387	0.354425011	0.429355613	0.51983785	0.631472484	0.748599129	0.893729592	1.053976678	1.22439214	1.439722463	1.663263614	1.863857947	2.04721498	2.195771152	2.315616614	2.42469556	2.493590388	2.47542869	2.372222388	2.218717969	2.055969571	1.830688377	1.575282689	1.352883442	1.13619371	0.946529022	0.76822899	0.621467237	0.541207753	0.481121893	0.443547839	0.453770592	0.498196065	0.585035086	0.704064904	0.858928732	1.067135753	1.318463216	1.635368549	2.009477797	2.412515259	2.874170421	3.343383894	3.726628368	4.038150443	4.228141389	4.225531325	4.103075798	3.838099873	3.441641948	2.987381969	2.476570593	1.976308227	1.513402409	1.100740334	0.772307215	0.518913452	0.338275237	0.219245419	0.136267118	0.082815172	0.049808731	0.029689484	0.016149774	0.008808968	0.006525161	0.00668829	0.006198903	0.005111376	0.005057	0.004676366	0.00386072	0.003371333	0.002610065	0.002555688	0.002990699	0.003099452	0.003262581	0.003643215	0.014627237	0.045513	0.103260677
EPD-A-5-10-S_S21_L001_R1_001_val_1	0	0	0	0	0	0	0	0	0	0.00022165	0.000554126	0.001108252	0.001551553	0.002327329	0.003546406	0.005541259	0.009309315	0.011636644	0.012079945	0.0154047	0.018286155	0.02116761	0.028038771	0.035353233	0.040451191	0.047987304	0.061507976	0.069265739	0.081567334	0.101183391	0.113374161	0.127559785	0.149835646	0.157704234	0.16402127	0.178650194	0.176544515	0.178539368	0.189289411	0.192060041	0.193722418	0.196382223	0.197379649	0.203031734	0.204915762	0.215665804	0.246807681	0.289032075	0.336576078	0.39863818	0.487741627	0.622283398	0.805809899	1.007511731	1.264182853	1.614501253	2.041843156	2.551417343	3.200742085	3.922768147	4.702644954	5.518318294	6.244001587	6.779287217	7.088932776	7.180363551	7.060672354	6.608838087	5.933247776	5.164342663	4.252140588	3.346144724	2.543992056	1.849228989	1.279698378	0.869756029	0.558226442	0.341230736	0.211565273	0.118804595	0.058848172	0.033136729	0.017732029	0.00919849	0.006760336	0.004322182	0.003989707	0.003768056	0.002327329	0.001551553	0.001773203	0.001994853	0.002105678	0.001440727	0.000443301	0.000332476	0.000664951	0.000554126	0.00022165	0.00022165	0.000554126
EPD-A-5-10-S_S21_L001_R2_001_val_2	0	0	0	0	0	0	0	0	0.000221478	0.000332217	0.000775173	0.00110739	0.001328868	0.002104042	0.00343291	0.005204734	0.007198037	0.011295381	0.013731639	0.0136209	0.017607505	0.023255196	0.028681408	0.037208313	0.044849306	0.050054041	0.057362816	0.066221939	0.080285795	0.096564432	0.108413508	0.123806233	0.143739258	0.158467549	0.169541452	0.180061659	0.185598611	0.189474477	0.197004731	0.203206116	0.211290065	0.20852159	0.200326902	0.199219511	0.208078634	0.235320434	0.262340757	0.299438332	0.348163504	0.415603572	0.509510268	0.63575276	0.825227236	1.04581938	1.29763993	1.635504704	2.063954003	2.5701421	3.205673382	3.933007318	4.720583285	5.494981307	6.202050001	6.788523893	7.112546289	7.138902178	6.965927816	6.542240295	5.866400007	5.094991938	4.209301192	3.298472687	2.518426974	1.849563245	1.272169953	0.854130123	0.563329435	0.349049416	0.208853807	0.126574709	0.069433371	0.036765357	0.019600808	0.011295381	0.009302078	0.007751732	0.006201386	0.004651039	0.004208083	0.003765127	0.003211432	0.002546998	0.001661085	0.001993303	0.002879215	0.00232552	0.001550346	0.001771824	0.009302078	0.032335796	0.05813799
