locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
5451337			550	182	68	-	RNA_46	rrnA5S	5S ribosomal RNA (RefSeq)								
5451338			550	3200	244	-	RNA_38	rrnA23S	23S ribosomal RNA (RefSeq)								
5451339			550	4793	3402	-	RNA_39	rrnA16S	16S ribosomal RNA (RefSeq)								
5451340			550	5223	5109	-	RNA_47	rrnB5S	5S ribosomal RNA (RefSeq)								
5451341			550	8241	5285	-	RNA_40	rrnB23S	23S ribosomal RNA (RefSeq)								
5451342			550	9834	8443	-	RNA_41	rrnB16S	16S ribosomal RNA (RefSeq)								
532172	NP_987121.1	45357564	550	10104	10385	+	MMP0001	MMP0001	conserved archaeal protein (NCBI)	COG4014	S	Uncharacterized protein conserved in archaea					
532173	NP_987122.1	45357565	550	10416	11480	+	MMP0002	MMP0002	L-seryl-tRNA selenium transferase related protein (NCBI)	COG1921	E	Selenocysteine synthase [seryl-tRNASer selenium transferase]	TIGR03576 pyridoxal phosphate enzyme, MJ0158 family	Unknown function:Enzymes of unknown specificity	GO:0001514,GO:0009058,GO:0005737,GO:0016769,GO:0004125,GO:0030170	2.9.1.1	L-seryl-tRNA(Sec) selenium transferase.
532174	NP_987123.1	45357566	550	12608	11517	-	MMP0003	korA	2-oxoglutarate oxidoreductase alpha subunit (NCBI)	COG674	C	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit			GO:0006118,GO:0047553	1.2.7.3	2-oxoglutarate synthase.
532175	NP_987124.1	45357567	550	13543	12647	-	MMP0004	MMP0004	Kinase related protein (NCBI)	COG478	T	RIO-like serine/threonine protein kinase fused to N-terminal HTH domain			GO:0004682,GO:0005524	2.7.11.1	Non-specific serine/threonine protein kinase.
532176	NP_987125.1	45357568	550	15208	13625	-	MMP0005	MMP0005	hypothetical protein (NCBI)								
532177	NP_987126.1	45357569	550	15336	16421	+	MMP0006	MMP0006	Conserved hypothetical protein (NCBI)	COG1465	E	Predicted alternative 3-dehydroquinate synthase			GO:0008152,GO:0003824,GO:0003856	1.4.1.-,4.2.3.4	,3-dehydroquinate synthase.
532178	NP_987127.1	45357570	550	16803	17573	+	MMP0007	MMP0007	Conserved hypothetical protein (NCBI)	COG1646	R	Predicted phosphate-binding enzymes, TIM-barrel fold	TIGR01768 geranylgeranylglyceryl phosphate synthase family protein,TIGR01769 phosphoglycerol geranylgeranyltransferase				
532179	NP_987128.1	45357571	550	19359	17602	-	MMP0008	DP1	DNA polymerase, archaeal type II, small subunit (NCBI)	COG1311	L	Archaeal DNA polymerase II, small subunit/DNA polymerase delta, subunit B			GO:0006260,GO:0005634,GO:0016448,GO:0016452,GO:0003676,GO:0003893,GO:0016449,GO:0019984,GO:0003889,GO:0003894,GO:0008408,GO:0015999,GO:0016450,GO:0003890,GO:0003895,GO:0016000,GO:0016451,GO:0003891	2.7.7.7	DNA-directed DNA polymerase.
532180	NP_987129.1	45357572	550	20488	19370	-	MMP0009	MMP0009	putative DNA primase large subunit (NCBI)	COG2219	L	Eukaryotic-type DNA primase, large subunit			GO:0006269,GO:0005658,GO:0003896	2.7.7.-	
532181	NP_987130.1	45357573	550	20931	20506	-	MMP0010	MMP0010	Conserved hypothetical Archael protein (NCBI)	COG4080	L	RecB-family nuclease			GO:0031177		
532182	NP_987131.1	45357574	550	22041	20974	-	MMP0011	MMP0011	C-5 cytosine-specific DNA methylase (NCBI)	COG270	L	Site-specific DNA methylase			GO:0006306,GO:0003677,GO:0051720,GO:0051718,GO:0051719	2.1.1.37	DNA (cytosine-5-)-methyltransferase.
532183	NP_987132.1	45357575	550	22111	22560	+	MMP0012	MMP0012	Conserved hypothetical protein (NCBI)	COG1832	R	Predicted CoA-binding protein					
532184	NP_987133.1	45357576	550	22602	24047	+	MMP0013	argH	argininosuccinate lyase (NCBI)	COG165	E	Argininosuccinate lyase	TIGR00838 argininosuccinate lyase [argH]	Amino acid biosynthesis:Glutamate family	GO:0042450,GO:0004056	4.3.2.1	Argininosuccinate lyase.
