,order,Note,GeneID,Gene_Symbol+Description,Org,Gene_name_edited,
519,384,Biofilm,DVUA0018,hypothetical protein,DvH,hypothetical protein,
526,388,Biofilm,DVUA0084,"transcriptional regulator, AbrB family",DvH,AbrB family TF,
819,814,Flagella,MMP1672,flaF flagella accessory protein F,Mmp,flaF flagella accessory protein F,
139,447,Flagella,DVU0863,"flagellar hook-associated protein 2, putative",DvH,flagellar hook-associated protein 2,
90,371,Flagella,DVU0519,"flagellar hook-associated protein FlgK, putative",DvH,flagellar hook-associated protein FlgK,
226,375,Flagella,DVU1445,flagellar hook-length control domain protein,DvH,flagellar hook-length control domain protein,
138,502,Flagella,DVU0862,"flagellar protein FliS/hypothetical protein, fusion",DvH,flagellar protein FliS/hypothetical protein,
223,499,Flagella,DVU1441,flagellin,DvH,flagellin,
397,176,Flagella,DVU2444,flagellin,DvH,flagellin,
340,178,Flagella,DVU2082,"flagellin, putative",DvH,flagellin,
56,464,Flagella,DVU0316,flgB flagellar basal-body rod protein FlgB,DvH,flgB flagellar basal-body rod protein,
225,378,Flagella,DVU1444,flgD basal-body rod modification protein FlgD,DvH,flgD basal-body rod modification protein,
224,505,Flagella,DVU1443,flgE flagellar hook protein FlgE,DvH,flgE flagellar hook protein,
87,463,Flagella,DVU0513,flgG flagellar basal-body rod protein FlgG,DvH,flgG flagellar basal-body rod protein,
10,342,Flagella,DVU0044,fliP flagellar biosynthetic protein fliP,DvH,fliP flagellar biosynthetic protein,
9,255,Flagella,DVU0043,fliQ flagellar biosynthetic protein FliQ,DvH,fliQ flagellar biosynthetic protein,
379,369,Hydrogenase,DVU2291,"carbon monoxide-induced hydrogenase CooH, putative",DvH,cooH carbon monoxide-induced hydrogenase,
342,448,Hydrogenase,DVU2098,cooS carbon monoxide dehydrogenase,DvH,cooS carbon monoxide dehydrogenase,
785,686,Hydrogenase,MMP1462,ehaO energy conserving hydrogenase A large subunit,Mmp,ehaO energy conserving hydrogenase A,
812,567,Hydrogenase,MMP1622,ehbM energy conserving hydrogenase B small subunit,Mmp,ehbM energy conserving hydrogenase B,
677,655,Hydrogenase,MMP0819,frcD coenzyme F420-reducing hydrogenase subunit delta,Mmp,frcD coenzyme F420-reducing hydrogenase,
771,682,Hydrogenase,MMP1382,fruA coenzyme F420-reducing hydrogenase subunit alpha,Mmp,fruA coenzyme F420-reducing hydrogenase,
772,678,Hydrogenase,MMP1383,fruD coenzyme F420-reducing hydrogenase delta subunit,Mmp,fruD coenzyme F420-reducing hydrogenase,
773,679,Hydrogenase,MMP1384,fruG coenzyme F420-reducing hydrogenase subunit gamma,Mmp,fruG coenzyme F420-reducing hydrogenase,
821,677,Hydrogenase,MMP1691,fwdB tungsten containing formylmethanofuran dehydrogenase subunit B,Mmp,fwdB formylmethanofuran dehydrogenase,
745,632,Hydrogenase,MMP1247,"fwdD tungsten containing formylmethanofuran dehydrogenase, subunit D",Mmp,fwdD formylmethanofuran dehydrogenase,
826,681,Hydrogenase,MMP1697,"hdrA heterodisulfide reductase, subunit A",Mmp,hdrA heterodisulfide reductase,
392,179,Hydrogenase,DVU2403,"hdrB heterodisulfide reductase, B subunit",DvH,hdrB heterodisulfide reductase,
735,673,Hydrogenase,MMP1155,"hdrB1 heterosulfide reductase, subunit B1",Mmp,hdrB1 heterosulfide reductase,
717,671,Hydrogenase,MMP1053,hdrB2 heterodisulfide reductase; subunit B2,Mmp,hdrB2 heterodisulfide reductase,
393,180,Hydrogenase,DVU2404,"hdrC heterodisulfide reductase, C subunit",DvH,hdrC heterodisulfide reductase,
718,672,Hydrogenase,MMP1054,hdrC2 heterodisulfide reductase; subunit C2,Mmp,hdrC2 heterodisulfide reductase,
830,806,Hydrogenase(LA),MMP1716,hmdII H(2)-forming methylenetetrahydromethanopterin dehydrogenase related protein,Mmp,hmdII H2 methylenetetrahydromethanopterin dehydrogenase,
274,235,Hydrogenase,DVU1769,"hydA periplasmic [Fe] hydrogenase, large subunit",DvH,hydA periplasmic [Fe] hydrogenase,
275,497,Hydrogenase,DVU1770,"hydB periplasmic [Fe] hydrogenase, small subunit",DvH,hydB periplasmic [Fe] hydrogenase,
382,177,Hydrogenase,DVU2328,"hydrogenase nickel insertion protein HypA, putative",DvH,hypA hydrogenase nickel insertion protein ,
378,334,Hydrogenase,DVU2289,"hydrogenase, CooX subunit, putative",DvH,cooX hydrogenase,
302,232,Hydrogenase,DVU1922,"hynA-1 periplasmic [NiFe] hydrogenase, large subunit, isozyme 1",DvH,hynA-1 periplasmic [NiFe] hydrogenase,
301,233,Hydrogenase,DVU1921,"hynB-1 periplasmic [NiFe] hydrogenase, small subunit, isozyme 1",DvH,hynB-1 periplasmic [NiFe] hydrogenase,
383,365,Hydrogenase,DVU2329,hypB hydrogenase accessory protein HypB,DvH,hypB hydrogenase accessory protein,
